medical_specialty,cluster
surgery,5
surgery,11
surgery,9
surgery,9
surgery,9
surgery,9
surgery,13
surgery,9
surgery,13
surgery,9
surgery,6
surgery,9
surgery,4
surgery,10
surgery,9
surgery,9
surgery,5
surgery,9
surgery,9
surgery,9
surgery,16
surgery,12
surgery,9
surgery,9
surgery,9
surgery,16
surgery,16
surgery,5
surgery,16
surgery,11
surgery,5
surgery,5
surgery,5
surgery,6
surgery,5
surgery,5
surgery,5
surgery,10
surgery,5
surgery,11
surgery,12
surgery,5
surgery,5
surgery,10
surgery,10
surgery,5
surgery,5
surgery,4
surgery,12
surgery,12
surgery,12
surgery,12
surgery,12
surgery,12
surgery,12
surgery,12
surgery,4
surgery,12
surgery,5
surgery,10
surgery,5
surgery,5
surgery,10
surgery,5
surgery,10
surgery,13
surgery,5
surgery,10
surgery,10
surgery,10
surgery,6
surgery,10
surgery,6
surgery,6
surgery,5
surgery,6
surgery,6
surgery,12
surgery,6
surgery,5
surgery,5
surgery,5
surgery,6
surgery,6
surgery,5
surgery,5
surgery,0
surgery,6
surgery,10
surgery,6
surgery,0
surgery,0
surgery,6
surgery,0
surgery,5
surgery,5
surgery,6
surgery,6
surgery,6
surgery,6
surgery,6
surgery,0
surgery,5
surgery,14
surgery,16
surgery,5
surgery,5
surgery,5
surgery,6
surgery,9
surgery,10
surgery,6
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,12
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,9
surgery,5
surgery,12
surgery,9
surgery,9
surgery,9
surgery,9
surgery,6
surgery,9
surgery,9
surgery,5
surgery,1
surgery,5
surgery,9
surgery,5
surgery,9
surgery,5
surgery,16
surgery,5
surgery,12
surgery,5
surgery,5
surgery,5
surgery,6
surgery,16
surgery,6
surgery,6
surgery,6
surgery,12
surgery,6
surgery,12
surgery,12
surgery,12
surgery,14
surgery,14
surgery,12
surgery,5
surgery,6
surgery,5
surgery,17
surgery,17
surgery,5
surgery,6
surgery,17
surgery,16
surgery,5
surgery,6
surgery,16
surgery,16
surgery,16
surgery,10
surgery,5
surgery,5
surgery,5
surgery,5
surgery,16
surgery,5
surgery,6
surgery,5
surgery,12
surgery,2
surgery,2
surgery,13
surgery,11
surgery,2
surgery,2
surgery,13
surgery,13
surgery,13
surgery,13
surgery,13
surgery,13
surgery,13
surgery,13
surgery,13
surgery,13
surgery,13
surgery,14
surgery,13
surgery,13
surgery,5
surgery,1
surgery,1
surgery,1
surgery,14
surgery,14
surgery,5
surgery,13
surgery,1
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,5
surgery,6
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,14
surgery,12
surgery,5
surgery,5
surgery,5
surgery,5
surgery,6
surgery,5
surgery,5
surgery,5
surgery,5
surgery,4
surgery,16
surgery,16
surgery,5
surgery,5
surgery,5
surgery,6
surgery,16
surgery,5
surgery,5
surgery,5
surgery,6
surgery,12
surgery,5
surgery,12
surgery,6
surgery,5
surgery,6
surgery,6
surgery,6
surgery,6
surgery,6
surgery,6
surgery,6
surgery,16
surgery,5
surgery,5
surgery,16
surgery,0
surgery,12
surgery,5
surgery,5
surgery,5
surgery,6
surgery,6
surgery,5
surgery,6
surgery,6
surgery,12
surgery,6
surgery,5
surgery,12
surgery,6
surgery,5
surgery,10
surgery,16
surgery,16
surgery,15
surgery,5
surgery,16
surgery,14
surgery,5
surgery,5
surgery,5
surgery,5
surgery,6
surgery,6
surgery,6
surgery,5
surgery,5
surgery,6
surgery,5
surgery,5
surgery,5
surgery,5
surgery,5
surgery,5
surgery,5
surgery,5
surgery,11
surgery,5
surgery,6
surgery,11
surgery,4
surgery,4
surgery,11
surgery,4
surgery,5
surgery,4
surgery,4
surgery,4
surgery,4
surgery,5
surgery,4
surgery,5
surgery,5
surgery,11
surgery,17
surgery,4
surgery,17
surgery,5
surgery,17
surgery,17
surgery,5
surgery,14
surgery,4
surgery,14
surgery,17
surgery,17
surgery,4
surgery,5
surgery,3
surgery,3
surgery,11
surgery,11
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,3
surgery,14
surgery,5
surgery,16
surgery,12
surgery,17
surgery,12
surgery,12
surgery,5
surgery,5
surgery,16
surgery,5
surgery,5
surgery,5
surgery,5
surgery,4
speech - language,12
speech - language,5
speech - language,12
speech - language,5
surgery,5
speech - language,5
speech - language,5
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
speech - language,5
speech - language,5
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,17
soap / chart / progress notes,7
soap / chart / progress notes,13
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,4
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,12
soap / chart / progress notes,12
soap / chart / progress notes,7
soap / chart / progress notes,12
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,12
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,5
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,12
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,10
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,3
soap / chart / progress notes,7
soap / chart / progress notes,12
soap / chart / progress notes,12
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,5
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,1
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
soap / chart / progress notes,7
sleep medicine,12
soap / chart / progress notes,7
soap / chart / progress notes,7
sleep medicine,12
sleep medicine,5
sleep medicine,5
sleep medicine,12
sleep medicine,5
sleep medicine,5
sleep medicine,5
sleep medicine,5
sleep medicine,5
sleep medicine,5
sleep medicine,12
sleep medicine,5
sleep medicine,5
sleep medicine,12
sleep medicine,12
sleep medicine,5
rheumatology,5
sleep medicine,5
rheumatology,5
rheumatology,5
rheumatology,5
rheumatology,5
rheumatology,5
radiology,5
radiology,5
rheumatology,5
radiology,6
radiology,10
radiology,10
radiology,10
radiology,10
radiology,10
radiology,10
radiology,5
radiology,5
radiology,5
radiology,5
radiology,10
radiology,5
radiology,1
radiology,1
radiology,17
radiology,1
radiology,14
radiology,0
radiology,1
radiology,1
radiology,5
radiology,11
radiology,1
radiology,1
radiology,5
radiology,5
radiology,5
radiology,1
radiology,1
radiology,1
radiology,1
radiology,1
radiology,5
radiology,1
radiology,5
radiology,16
radiology,5
radiology,5
radiology,6
radiology,1
radiology,11
radiology,5
radiology,11
radiology,15
radiology,12
radiology,5
radiology,5
radiology,6
radiology,1
radiology,0
radiology,6
radiology,11
radiology,1
radiology,1
radiology,1
radiology,5
radiology,5
radiology,15
radiology,1
radiology,15
radiology,15
radiology,5
radiology,4
radiology,5
radiology,5
radiology,12
radiology,15
radiology,15
radiology,15
radiology,5
radiology,4
radiology,5
radiology,15
radiology,11
radiology,11
radiology,11
radiology,5
radiology,15
radiology,5
radiology,11
radiology,15
radiology,11
radiology,5
radiology,15
radiology,15
radiology,15
radiology,5
radiology,15
radiology,15
radiology,15
radiology,15
radiology,5
radiology,15
radiology,15
radiology,5
radiology,15
radiology,15
radiology,15
radiology,5
radiology,5
radiology,15
radiology,15
radiology,15
radiology,15
radiology,15
radiology,15
radiology,1
radiology,5
radiology,1
radiology,1
radiology,5
radiology,11
radiology,1
radiology,5
radiology,10
radiology,5
radiology,6
radiology,17
radiology,0
radiology,12
radiology,5
radiology,12
radiology,5
radiology,12
radiology,5
radiology,12
radiology,5
radiology,11
radiology,5
radiology,1
radiology,12
radiology,13
radiology,10
radiology,11
radiology,12
radiology,11
radiology,11
radiology,11
radiology,11
radiology,11
radiology,5
radiology,1
radiology,5
radiology,11
radiology,1
radiology,11
radiology,1
radiology,5
radiology,1
radiology,1
radiology,5
radiology,1
radiology,14
radiology,5
radiology,5
radiology,0
radiology,0
radiology,5
radiology,1
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,15
radiology,0
radiology,5
radiology,5
radiology,15
radiology,0
radiology,0
radiology,15
radiology,0
radiology,0
radiology,15
radiology,15
radiology,0
radiology,0
radiology,0
radiology,15
radiology,0
radiology,15
radiology,0
radiology,0
radiology,0
radiology,0
radiology,5
radiology,1
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,0
radiology,5
radiology,0
radiology,0
radiology,14
radiology,14
radiology,12
radiology,14
radiology,16
radiology,5
radiology,5
radiology,14
radiology,1
radiology,15
radiology,12
radiology,1
radiology,14
radiology,1
radiology,14
radiology,14
radiology,5
radiology,14
radiology,10
radiology,6
radiology,5
radiology,0
radiology,5
radiology,5
radiology,15
radiology,14
radiology,5
radiology,1
radiology,5
radiology,15
radiology,1
radiology,12
radiology,12
radiology,1
psychiatry / psychology,5
radiology,1
psychiatry / psychology,5
radiology,1
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,8
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
psychiatry / psychology,5
podiatry,5
podiatry,5
psychiatry / psychology,5
podiatry,6
psychiatry / psychology,5
podiatry,5
podiatry,5
podiatry,7
psychiatry / psychology,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,15
podiatry,5
podiatry,5
podiatry,4
podiatry,5
podiatry,4
podiatry,5
podiatry,4
podiatry,4
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,5
podiatry,4
podiatry,5
physical medicine - rehab,5
physical medicine - rehab,5
physical medicine - rehab,11
physical medicine - rehab,11
physical medicine - rehab,11
physical medicine - rehab,11
physical medicine - rehab,13
physical medicine - rehab,11
pediatrics - neonatal,5
physical medicine - rehab,11
physical medicine - rehab,11
physical medicine - rehab,11
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,16
pediatrics - neonatal,16
pediatrics - neonatal,5
pediatrics - neonatal,1
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,16
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,14
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,15
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,16
pediatrics - neonatal,5
pediatrics - neonatal,6
pediatrics - neonatal,6
pediatrics - neonatal,12
pediatrics - neonatal,16
pediatrics - neonatal,5
pediatrics - neonatal,5
pediatrics - neonatal,5
pain management,11
pain management,11
pain management,11
pain management,13
pain management,11
pediatrics - neonatal,12
pain management,5
pain management,8
pain management,11
pain management,11
pain management,11
pain management,11
pain management,5
pain management,7
pain management,12
pain management,11
pain management,11
pain management,11
pain management,11
pain management,12
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,12
pain management,5
pain management,11
pain management,12
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,12
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,12
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,11
pain management,12
pain management,11
pain management,12
orthopedic,5
pain management,12
pain management,12
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,13
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,5
orthopedic,11
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,13
orthopedic,5
orthopedic,5
orthopedic,6
orthopedic,4
orthopedic,5
orthopedic,5
orthopedic,3
orthopedic,5
orthopedic,13
orthopedic,15
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,8
orthopedic,4
orthopedic,5
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,3
orthopedic,5
orthopedic,15
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,12
orthopedic,5
orthopedic,5
orthopedic,7
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,15
orthopedic,5
orthopedic,12
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,13
orthopedic,15
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,3
orthopedic,5
orthopedic,15
orthopedic,15
orthopedic,4
orthopedic,5
orthopedic,4
orthopedic,12
orthopedic,15
orthopedic,15
orthopedic,11
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,15
orthopedic,4
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,15
orthopedic,5
orthopedic,5
orthopedic,15
orthopedic,5
orthopedic,15
orthopedic,15
orthopedic,15
orthopedic,15
orthopedic,15
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,15
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,11
orthopedic,15
orthopedic,5
orthopedic,11
orthopedic,11
orthopedic,11
orthopedic,12
orthopedic,11
orthopedic,11
orthopedic,5
orthopedic,11
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,4
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,5
orthopedic,4
orthopedic,11
orthopedic,4
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,13
orthopedic,5
orthopedic,5
orthopedic,13
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,4
orthopedic,11
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,4
orthopedic,4
orthopedic,13
orthopedic,5
orthopedic,15
orthopedic,15
orthopedic,15
orthopedic,15
orthopedic,5
orthopedic,0
orthopedic,0
orthopedic,0
orthopedic,15
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,8
orthopedic,15
orthopedic,15
orthopedic,5
orthopedic,5
orthopedic,3
orthopedic,5
orthopedic,15
orthopedic,5
orthopedic,13
orthopedic,11
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,13
orthopedic,5
orthopedic,13
orthopedic,5
orthopedic,5
orthopedic,13
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,5
orthopedic,11
orthopedic,5
orthopedic,11
orthopedic,11
orthopedic,4
orthopedic,4
orthopedic,5
orthopedic,4
orthopedic,5
orthopedic,11
orthopedic,4
orthopedic,4
orthopedic,4
orthopedic,4
orthopedic,5
orthopedic,4
orthopedic,11
orthopedic,5
orthopedic,3
orthopedic,5
orthopedic,4
orthopedic,11
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,3
orthopedic,5
orthopedic,3
orthopedic,3
orthopedic,5
orthopedic,5
ophthalmology,5
orthopedic,5
ophthalmology,5
ophthalmology,5
ophthalmology,12
ophthalmology,5
ophthalmology,12
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,12
ophthalmology,12
ophthalmology,5
ophthalmology,5
ophthalmology,12
ophthalmology,5
ophthalmology,12
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,2
ophthalmology,12
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,2
ophthalmology,12
ophthalmology,2
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,2
ophthalmology,5
ophthalmology,12
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,12
ophthalmology,2
ophthalmology,6
ophthalmology,2
ophthalmology,5
ophthalmology,12
ophthalmology,5
ophthalmology,12
ophthalmology,2
ophthalmology,2
ophthalmology,5
ophthalmology,2
ophthalmology,2
ophthalmology,5
ophthalmology,5
ophthalmology,5
ophthalmology,12
ophthalmology,6
ophthalmology,12
ophthalmology,5
ophthalmology,5
ophthalmology,12
office notes,5
office notes,5
office notes,5
office notes,16
office notes,5
office notes,12
office notes,12
office notes,5
office notes,5
office notes,5
office notes,12
office notes,12
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,12
office notes,5
office notes,5
office notes,5
office notes,5
office notes,5
office notes,6
office notes,1
office notes,5
office notes,5
office notes,14
office notes,10
office notes,5
office notes,1
obstetrics / gynecology,10
office notes,5
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,12
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,6
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,10
obstetrics / gynecology,6
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,6
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,12
obstetrics / gynecology,6
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,15
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,5
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,5
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,12
obstetrics / gynecology,12
obstetrics / gynecology,10
obstetrics / gynecology,10
obstetrics / gynecology,12
obstetrics / gynecology,12
obstetrics / gynecology,12
obstetrics / gynecology,12
obstetrics / gynecology,12
obstetrics / gynecology,10
obstetrics / gynecology,12
obstetrics / gynecology,12
